Date,Price,Open,High,Low ,Vol.,Change %
"Jan 22, 2015","10,859.34","10,753.58","10,869.00","10,699.73","-"   ,"1.30%"
"Jan 21, 2015","10,720.40","10,646.00","10,735.65","10,616.99","-"   ,"0.58%"
"Jan 20, 2015","10,658.62","10,682.00","10,703.18","10,589.46","-"   ,"-0.02%"
"Jan 16, 2015","10,660.32","10,508.62","10,664.53","10,503.35","-"   ,"1.39%"
"Jan 15, 2015","10,514.60","10,606.63","10,636.68","10,511.05","-"   ,"-0.48%"
"Jan 14, 2015","10,565.41","10,622.57","10,622.57","10,442.80","-"   ,"-0.54%"
"Jan 13, 2015","10,622.96","10,640.74","10,773.28","10,543.49","-"   ,"-0.17%"
"Jan 12, 2015","10,640.74","10,712.65","10,717.01","10,597.40","-"   ,"-0.66%"
"Jan 09, 2015","10,711.41","10,811.82","10,811.82","10,680.53","-"   ,"-0.83%"
"Jan 08, 2015","10,800.55","10,686.00","10,809.46","10,686.00","-"   ,"1.63%"
"Jan 07, 2015","10,627.13","10,514.48","10,638.74","10,514.48","-"   ,"1.07%"
"Jan 06, 2015","10,514.87","10,610.78","10,647.21","10,457.89","-"   ,"-0.87%"
"Jan 05, 2015","10,607.68","10,764.37","10,764.37","10,588.04","-"   ,"-2.06%"
"Jan 02, 2015","10,830.92","10,859.80","10,889.25","10,770.50","-"   ,"-0.08%"
"Dec 31, 2014","10,839.24","10,941.68","10,948.60","10,834.26","-"   ,"-0.86%"
"Dec 30, 2014","10,932.99","10,963.54","10,963.54","10,931.55","-"   ,"-0.50%"
"Dec 29, 2014","10,988.01","10,974.88","11,007.82","10,962.61","-"   ,"0.02%"
"Dec 26, 2014","10,985.40","10,975.29","11,008.54","10,975.29","-"   ,"0.28%"
"Dec 24, 2014","10,955.11","10,962.23","10,979.75","10,949.49","-"   ,"0.03%"
"Dec 23, 2014","10,951.76","10,935.73","10,971.98","10,934.90","-"   ,"0.29%"
"Dec 22, 2014","10,919.99","10,890.25","10,921.31","10,879.23","-"   ,"0.27%"
"Dec 19, 2014","10,890.24","10,835.33","10,919.51","10,825.67","-"   ,"0.54%"
"Dec 18, 2014","10,831.62","10,709.54","10,831.64","10,692.38","-"   ,"2.15%"
"Dec 17, 2014","10,603.50","10,411.54","10,614.57","10,411.53","-"   ,"2.05%"
"Dec 16, 2014","10,390.02","10,386.11","10,583.69","10,360.03","-"   ,"-0.20%"
"Dec 15, 2014","10,411.18","10,535.52","10,571.47","10,373.80","-"   ,"-0.85%"
"Dec 12, 2014","10,500.51","10,690.14","10,690.14","10,500.50","-"   ,"-1.77%"
"Dec 11, 2014","10,690.14","10,671.07","10,786.42","10,671.07","-"   ,"0.26%"
"Dec 10, 2014","10,662.24","10,816.77","10,816.77","10,649.12","-"   ,"-1.71%"
"Dec 09, 2014","10,847.36","10,863.56","10,863.56","10,742.73","-"   ,"-0.15%"
"Dec 08, 2014","10,863.54","10,941.62","10,946.40","10,835.12","-"   ,"-0.97%"
"Dec 05, 2014","10,970.29","10,957.40","10,992.64","10,949.17","-"   ,"0.16%"
"Dec 04, 2014","10,952.30","10,966.93","10,980.13","10,908.58","-"   ,"-0.32%"
"Dec 03, 2014","10,987.41","10,942.70","10,996.67","10,933.01","-"   ,"0.43%"
"Dec 02, 2014","10,940.12","10,888.44","10,950.46","10,888.04","-"   ,"0.48%"
"Dec 01, 2014","10,888.37","10,933.11","10,933.11","10,864.08","-"   ,"-0.61%"
"Nov 28, 2014","10,955.41","10,993.08","11,000.50","10,945.73","-"   ,"-0.84%"
"Nov 26, 2014","11,047.91","11,036.81","11,049.31","11,022.88","-"   ,"0.17%"
"Nov 25, 2014","11,029.37","11,053.26","11,068.27","11,013.01","-"   ,"-0.11%"
"Nov 24, 2014","11,041.42","11,038.85","11,061.44","11,023.55","-"   ,"0.14%"
"Nov 21, 2014","11,025.74","10,937.97","11,063.79","10,937.97","-"   ,"0.80%"
"Nov 20, 2014","10,937.97","10,888.09","10,941.77","10,879.30","-"   ,"0.10%"
"Nov 19, 2014","10,927.48","10,938.56","10,948.00","10,885.47","-"   ,"-0.13%"
"Nov 18, 2014","10,941.70","10,896.63","10,963.79","10,896.63","-"   ,"0.54%"
"Nov 17, 2014","10,883.25","10,859.81","10,895.36","10,847.01","-"   ,"0.02%"
"Nov 14, 2014","10,880.63","10,861.47","10,883.56","10,850.76","-"   ,"0.11%"
"Nov 13, 2014","10,868.92","10,884.10","10,911.89","10,827.87","-"   ,"-0.14%"
"Nov 12, 2014","10,884.03","10,907.53","10,907.53","10,851.55","-"   ,"-0.22%"
"Nov 11, 2014","10,907.53","10,892.54","10,911.88","10,876.66","-"   ,"0.14%"
"Nov 10, 2014","10,892.56","10,876.91","10,898.16","10,862.02","-"   ,"0.26%"
"Nov 07, 2014","10,864.58","10,837.84","10,870.90","10,819.04","-"   ,"0.19%"
"Nov 06, 2014","10,843.54","10,824.07","10,844.57","10,773.81","-"   ,"0.18%"
"Nov 05, 2014","10,824.07","10,804.04","10,824.89","10,777.52","-"   ,"0.61%"
"Nov 04, 2014","10,758.08","10,781.06","10,781.62","10,704.56","-"   ,"-0.47%"
"Nov 03, 2014","10,808.67","10,834.40","10,851.58","10,790.21","-"   ,"-0.33%"
"Oct 31, 2014","10,845.00","10,772.93","10,846.09","10,772.93","-"   ,"1.24%"
"Oct 30, 2014","10,712.19","10,626.14","10,739.49","10,605.90","-"   ,"0.62%"
"Oct 29, 2014","10,646.66","10,690.31","10,716.57","10,583.48","-"   ,"-0.29%"
"Oct 28, 2014","10,677.88","10,576.91","10,677.89","10,576.91","-"   ,"1.27%"
"Oct 27, 2014","10,544.42","10,547.66","10,559.76","10,483.76","-"   ,"-0.36%"
"Oct 24, 2014","10,582.62","10,529.28","10,586.61","10,496.81","-"   ,"0.60%"
"Oct 23, 2014","10,519.28","10,476.33","10,576.62","10,476.33","-"   ,"1.09%"
"Oct 22, 2014","10,405.81","10,502.11","10,532.73","10,405.15","-"   ,"-0.90%"
"Oct 21, 2014","10,500.78","10,370.70","10,509.99","10,370.70","-"   ,"1.68%"
"Oct 20, 2014","10,327.34","10,227.22","10,330.08","10,227.22","-"   ,"0.75%"
"Oct 17, 2014","10,250.54","10,212.90","10,305.03","10,201.75","-"   ,"1.25%"
"Oct 16, 2014","10,123.73","10,004.83","10,194.71","9,939.40" ,"-"   ,"0.14%"
"Oct 15, 2014","10,109.67","10,083.91","10,139.21","9,886.08" ,"-"   ,"-0.75%"
"Oct 14, 2014","10,185.91","10,193.98","10,295.61","10,153.21","-"   ,"0.19%"
"Oct 13, 2014","10,166.74","10,317.54","10,362.07","10,163.82","-"   ,"-1.23%"
"Oct 10, 2014","10,293.14","10,397.37","10,442.20","10,292.60","-"   ,"-1.12%"
"Oct 09, 2014","10,409.38","10,614.97","10,617.66","10,405.28","-"   ,"-2.22%"
"Oct 08, 2014","10,645.67","10,485.79","10,648.98","10,421.63","-"   ,"1.54%"
"Oct 07, 2014","10,484.55","10,605.33","10,608.94","10,483.43","-"   ,"-1.53%"
"Oct 06, 2014","10,647.51","10,671.69","10,704.90","10,611.23","-"   ,"0.11%"
"Oct 03, 2014","10,635.49","10,579.49","10,649.11","10,575.41","-"   ,"0.76%"
"Oct 02, 2014","10,555.71","10,557.33","10,585.52","10,441.15","-"   ,"-0.15%"
"Oct 01, 2014","10,571.55","10,688.65","10,688.65","10,546.92","-"   ,"-1.23%"
"Sep 30, 2014","10,702.93","10,745.02","10,775.30","10,685.00","-"   ,"-0.43%"
"Sep 29, 2014","10,749.05","10,727.76","10,766.13","10,687.93","-"   ,"-0.46%"
"Sep 26, 2014","10,798.88","10,732.30","10,819.76","10,720.39","-"   ,"0.72%"
"Sep 25, 2014","10,722.21","10,863.60","10,863.60","10,719.58","-"   ,"-1.50%"
"Sep 24, 2014","10,885.60","10,818.76","10,897.57","10,792.49","-"   ,"0.65%"
"Sep 23, 2014","10,815.42","10,861.22","10,889.53","10,815.42","-"   ,"-0.71%"
"Sep 22, 2014","10,892.64","10,978.60","10,978.60","10,880.41","-"   ,"-0.88%"
"Sep 19, 2014","10,989.57","11,046.39","11,060.60","10,975.35","-"   ,"-0.31%"
"Sep 18, 2014","11,024.06","10,998.36","11,031.13","10,998.36","-"   ,"0.46%"
"Sep 17, 2014","10,973.74","10,993.24","11,027.67","10,942.90","-"   ,"-0.06%"
